,SegmentDescription,Answer,Count,Percentage
890,"guys, 5'5"" girls) Tall",Facebook,54,0.184
891,"guys, 5'5"" girls) Tall",Instagram,96,0.327
892,"guys, 5'5"" girls) Tall",Snapchat,7,0.024
893,"guys, 5'5"" girls) Tall",Twitter,17,0.058
894,"guys, 5'5"" girls) Tall",None,120,0.408
895,"guys, 5'5"" girls) Medium (± 3 inches)",Facebook,95,0.153
896,"guys, 5'5"" girls) Medium (± 3 inches)",Instagram,174,0.28
897,"guys, 5'5"" girls) Medium (± 3 inches)",Snapchat,17,0.027
898,"guys, 5'5"" girls) Medium (± 3 inches)",Twitter,52,0.084
899,"guys, 5'5"" girls) Medium (± 3 inches)",None,283,0.456
900,"guys, 5'5"" girls) Short",Facebook,40,0.18
901,"guys, 5'5"" girls) Short",Instagram,76,0.342
902,"guys, 5'5"" girls) Short",Snapchat,9,0.041
903,"guys, 5'5"" girls) Short",Twitter,21,0.095
904,"guys, 5'5"" girls) Short",None,76,0.342
905,or private school? Private,Facebook,61,0.169
906,or private school? Private,Instagram,105,0.29
907,or private school? Private,Snapchat,8,0.022
908,or private school? Private,Twitter,20,0.055
909,or private school? Private,None,168,0.464
910,"games a lot? Yes, console mostly",Facebook,20,0.135
911,"games a lot? Yes, console mostly",Instagram,37,0.25
912,"games a lot? Yes, console mostly",Snapchat,8,0.054
913,"games a lot? Yes, console mostly",Twitter,22,0.149
914,"games a lot? Yes, console mostly",None,61,0.412
915,your parents make? Upper class (> $240K),Facebook,70,0.23
916,your parents make? Upper class (> $240K),Instagram,83,0.273
917,your parents make? Upper class (> $240K),Snapchat,8,0.026
918,your parents make? Upper class (> $240K),Twitter,13,0.043
919,your parents make? Upper class (> $240K),None,130,0.428
920,your parents make? Upper-middle class (~$160K,Facebook,71,0.157
921,your parents make? Upper-middle class (~$160K,Instagram,149,0.33
922,your parents make? Upper-middle class (~$160K,Snapchat,11,0.024
923,your parents make? Upper-middle class (~$160K,Twitter,42,0.093
924,your parents make? Upper-middle class (~$160K,None,178,0.395
925,your parents make? Middle / lower-middle class (~$90K),Facebook,41,0.121
926,your parents make? Middle / lower-middle class (~$90K),Instagram,111,0.326
927,your parents make? Middle / lower-middle class (~$90K),Snapchat,12,0.035
928,your parents make? Middle / lower-middle class (~$90K),Twitter,32,0.094
929,your parents make? Middle / lower-middle class (~$90K),None,144,0.424
930,your parents make? Poor (< ~$50K) 😁,Facebook,15,0.112
931,your parents make? Poor (< ~$50K) 😁,Instagram,45,0.336
932,your parents make? Poor (< ~$50K) 😁,Snapchat,7,0.052
933,your parents make? Poor (< ~$50K) 😁,Twitter,10,0.075
934,your parents make? Poor (< ~$50K) 😁,None,57,0.425
935,What's your major? ME/EE/other engineer,Facebook,40,0.183
936,What's your major? ME/EE/other engineer,Instagram,47,0.215
937,What's your major? ME/EE/other engineer,Snapchat,8,0.037
938,What's your major? ME/EE/other engineer,Twitter,14,0.064
